a handful of,小撮；一把
decorate,裝潢 ; 佈置
deem,認為；相信
deep,深刻的；深切的
defeat,戰勝；擊敗
definite,明確的；規定的
definitely,確定地；明確地
deflect,使偏離；使轉向
deft,熟練的；靈巧的
deftly,熟練地；靈巧地
degrade,降低 ; 退化
dehydrate,使脫水；使乾燥
delegate,代表
delete,刪除；消去
deliberate,審慎的；仔細的
deliberately,蓄意地；審慎地
delicate,脆弱的；嬌嫩的
delicately,精致地；審慎地
delineate,描繪；描述
demand,要求；需求
demise,滅亡；死亡
demonstrate,表明；證實
demonstration,論證；證明
denote,表示；指示
dense,稠密的；濃濃的
densely,緊密地；稠密地
depend on,依靠；倚賴
depict,描繪；描述
depiction,描繪; 插畫
deplete,竭盡；用盡
deposit,放置；產卵
depress,壓低；使沮喪
deprive,剝奪；使喪失
derive,得到
derived from,基於
descent,血統；世系
deserted,虛無的
design,式樣；圖案
designate,指定 ; 任命
desolate,荒蕪的；荒涼的
detect,查明；查出
detectable,可察覺的；易發現的
detecting,探測
deter,阻止
deteriorate,惡化；變質
deterioration,惡化
determinants,決定因素
determine,評估 ; 計算
detrimental,不利的；有害的
devastated,毀壞的；被破壞的
devastation,破壞
developing,發展的；演化的
deviate,脫離(常規)
device,裝置；設備
devise,設計；發明
devoid,缺乏；沒有
devoid of,缺少
devote,致力於；獻身於
devote to,致力於；獻身於
devoted,忠實的；虔誠的
diagnose,診斷；分析
dialogue,對話；對白
dictate,指示；決定
diet,飲食；節實
differential,不均衡的 ; 差異的
diffuse,擴散；傳播
diffusion,擴散
dilemma,矛盾
dim,隱約的；模糊的
diminish,減少 ; 下降
diminutive,小的；小型的
dimly,朦朧地；暗淡地
dip,浸；沾
dire,可怕的；極度的
direct,指導；指揮
directly,直接地；即刻地
disaster,災難
discard,丟棄；拋棄
discern,辯明；識別
discerning,有眼光的；有辨別力的
disciple,信徒；弟子
discipline,學科；細目
discontent,不滿意；不滿 (名詞同義字是unhappiness)
discord,不調合；不一致
discover,發現 ; 了解
discrepancy,差異；不一致
disguised,隱藏的
disintegrate,分裂；瓦解
dismiss,駁回
disorient,使迷惑；使迷失方向
disparaging,貶低的；毀謗的
dispatch,派遣；發送
dispense,分散
dispersal,散播
dispersed,分散的
displace,換置 ; 取代
display,展現；陳列
dispose of,處理；除掉
disproportionately,不勻稱地；不相稱地
dispute,爭論
dispute,質疑
disregard,忽視；不注意
disrupt,干擾
disseminate,散佈；傳播
dissipate,驅散；使消失
distant,遠離的；久遠的
distinct,清晰的；不同的
distinction,差異
distinctive,特殊的
distinct,清楚的；明顯的
distinguish,區分；辨別
distinguished,著名的；卓越的
distributed,散開的; 分散的
district,地區；街區
disturb,攪動；滋攪
dive,跳水；潛水
divergence,差異；變化
divergent,分歧的
diverse,多種多樣的；不一樣的
diversity,多樣化；各式各樣
divert,改變方向
divine,神聖的；非凡的
do away with,廢除；去掉
document,文件
domain,領域；範圍
domesticate,馴養；馴服
dominant,主要的；佔優勢的
dominate,支配；控制
donate,捐贈；贈送
donation,捐款；捐物
donor,捐獻者；贈與人
dormancy,休眠狀態
dormant,休眠的；蟄伏的
dot,點綴；分散於
draft,草擬；設計
drama,戲劇；劇本；
dramatic,戲劇性的；顯著的
dramatically,戲劇性地；顯著地
drastic,激烈的；猛烈的
drastically,激烈地；猛烈地
draw,吸引；提取
drawback,缺點；弊端
dread,恐懼；畏懼
dreadfully,極端地
drift,漂泊;移動
drive,運動;競賽
drought,旱災；旱季
duplicate,複製；複寫
duplicate,相同的；雙重的
duplication,複製；複製品
durability,經久，耐久
durable,持久的；耐用的
duration,持續時間；期間
during,在．．．期間；在．．．時候
dust,塵土；灰塵
dwell,居住；居留
dwelling,住處；寓所
dwindle,減少 ; 衰落
eager,熱心的
early,早期的；早先的
earnest,認真的；誠摯的
earnestly,誠摯地；殷切地
earth,土；泥
ease into,漸漸進入
eccentric,怪癖的；古怪的
eccentricity,怪癖；古怪
ecologically,生態上；環境上
economical,節約的；經濟的
eerie,詭異的
effect,影響；效果
effectively,有效地；有力地
efficiency,效力
efficient,有效的；有力的
effort,努力；嘗試
eject,排斥
elaborate,複雜的；精心製作的
elaborately,詳盡地；精心地
elastic,有彈性的；可塑的
elect,選擇；推選
elegant,優雅的
elevate,提升；提升
elevation,高度；海拔
elicit,引出
eligible,合格的；適宜的
elongate,延長; 延伸
eloquent,善辯的；有口才的
elsewhere,在別處
elusive,無從捉摸的
emanate,散放
embarrass,使困窘；使為難
embellishments,裝飾 ; 粉飾
embody,體現；具體化
embrace,包括；包含；接受；信奉
embraced,歡迎
emerge,浮現；出現
emergence,出現；浮現
emigrate,外移
eminent,傑出的；著名的
emit,放射；散發
emit,排放 ; 釋出
emitting,生產，發行
emotion,感情；情感
emphasize,著重；強調
empirical,觀察的；經驗的
employ,僱佣；應用
emulate,模仿；仿效
enable,使能夠；使可能
enact,頒佈；規定
enactment,演出；作秀
enchantment,魅力
encompass,包含
encourage,鼓勵；促進
encroach,侵襲 ; 侵犯
end,末端；目的
endanger,危害；危及
endeavor,努力；盡力
endorse,認可；擔保
endow,賦予
endowment,天賦；天資
endure,忍受；求生存
enduring,持久的；耐用的
energetic,有力的；精力旺盛的
energetically,有力地；精力飽滿地
engage in,從事；忙於
engaged,僱佣
enhance,提升；增進
enjoyment,樂趣；享樂
enlist,徵募；入伍
enormous,巨大的；非凡的
ensure,保證
entail,引起；關係到
enthusiasm,熱情；積極性
enthusiastically,熱心地；熱情地
entitled to,賦予權利
entire,全部的
entirely,完全地；徹底地
entitle,稱作；取名
entity,實體；存在
entrepreneur,創業者
envelope,封皮；包層
envision,想像 ; 展望未來
epoch,時代；紀元
equal to,勝任的；能應付的
equally,相同地；同等地
equilibrium,平衡；均衡
equipment,設備；裝置
equivalent,相等的 ; 
equivocally,曖昧地；摸棱兩可地
era,時期
eradicate,除去；消除
erect,豎起的；直觀的
erect,樹立；建立
erection,建立；豎立
erratically,無規律地；不穩定地
erroneous,不正確的；錯誤的
erupt,噴出；爆發
escalate,逐步上升；逐步升級
especially,特別地；主要地
essence,基本
essential,基本的
essentially,基本上；必然地
establish,設立；創作
estate,房地產；財產
esteem,尊敬；尊重
estimated,鑑定
evacuate,撤離；疏散
evaluate,評估
eventually,最後地
ever-shifting,不斷改變的
evidence,跡象；預示
evidence,顯示；證明
evident,明顯的
evolution,進化
evolve,發展；演化
exact,正確的；精確的
exaggeration,誇張；誇大
examine,考察；探索
excavate,挖掘；開鑿
excavating,挖掘
exceed,超過；勝過
exceeding,超越
exceptional,特別的；非凡的
exceptionally,特別地
excerpt,節錄；摘錄
excessive,過分的；極度的
exclude from,拒絕；排除
exclusively,唯一地；全部地
excrete,排放 ; 釋出
excursion,短途旅行；遠足
execute,造成；製成；履行；執行
execution,執行；履行
exemplary,模範的；典型的
exercise,行使，利用
exert,運用 ; 盡力 ; 使受到影響
exhaustively,徹底地；完全地
exhibit,展覽；展出
exhibit,展覽會 ; 展覽品
exorbitant,昂貴的
exotic,異國的
expand,擴張；增加
expanse,廣闊的地方
expedite,加速；促進
expend,消耗 ; 使用
experimental,嘗試性的
expertly,熟練地；老練地
explicit,明確的
explicitly,明晰地；明確地
exploit,剝削
explore,考察；探索
expose,使暴露；暴露於
exposition,展覽會；博覽會
extend,延長；擴展
extensive,廣泛的；廣博的
extensively,廣闊地；廣泛地
extinct,滅種 ; 滅絕
extra,額外的；附加的
extract,提取；取得；拔出
extraneous,外來的；無關的
extraordinary,非凡的；極度的
extremely,極端地；極度地
exude,散發
fabricate,製作；裝配
fabricating,製作，構建
facet,某一方面
facilitate,使便利
factor,要素；原素
fade,褪色；衰弱
fairly,相對地；相當地
faithful,忠誠的；忠實的
fake,偽造的；冒充的
famous,著名的；出名的
fanciful,想像的；怪誕的
far,太；極；甚
far-reaching,廣泛的；深遠的
fashion,造成，引起
fashion,模式；樣子
fasten,紮牢；釘牢
fatal,致命的
fault,縫隙；斷層
fauna,動物 (集合名詞)
favor,喜愛
feasible,可行的；可能的
feat,功績；技藝
fee,費用；費
feeble,微弱的；無力的
feed,供給；供應
feel,察覺；感覺
feign,假裝
ferocious,兇猛的；殘忍的
fertile,肥沃的
fervor,熱情；熱烈
fictitious,虛構的；想像的
fidelity,忠誠；忠貞
figure,圖象；形象
figure out,演算；解決
fill,充滿；充塞
filter,過濾；濾過
finalize,終結；中止
find,找到；發現
fine,細小的
firm,結實的；堅硬的
firmly,堅定地；牢固地
fit,適合；適應
fix,安裝；固定；決定；確定
fixed,固定的
fixture,固定設備；附屬裝置
flattering,稱揚的；奉承的
flattery,諂媚 ; 阿諛
flavoring,調味的
flaw,缺點，瑕疵；有缺陷；有裂縫
flee,逃離；逃避
flexible,柔韌的；有彈性的
float,漂；浮
flock,鳥群；獸群
flora,植物 (集合名詞)
flourish,茂盛 ; 發達
flow,流動，湧出；
fluctuate,起伏；波動
fluctuation,波動
fluorescent,發光的；熒光的
focus on,聚焦
foliage,葉子
follow,聽從；遵循
following,在．．．之後
fool,欺騙；愚弄
foolish,荒謬的；愚蠢的
forage,搜索；尋找食物
forbid,禁止；不許
forecast,預測；預報
foregoing,先行的
foremost,首要的；主要的
forerunner,先驅；先鋒
forestall,阻止；
forever,永遠地；無窮無盡地
forfeit,失去；喪失
forge,創造 ; 偽造
form,形成；製作
formative,形成的；成型的
formerly,從前；以前
formidable,艱難的
fortunate,幸運的
foster,養育; 促進
found,創辦；建立
foundation,基礎；根據
fractures,裂縫
fragile,脆弱的; 易碎的
fragment,碎片；破片
fragmented,分裂的
fragrance,香味；香氣
frail,虛弱的；脆弱的
framework,架構；框架
free,擺脫的；不受約束的
freestanding,自立的;  不需支撐的
friction,磨擦; 衝突
frigid,寒冷的
from time to time,間或地；偶爾地
fruitful,富有成效的；多產的
fruitfully,富有成效地；多產地
fruitlessly,無效地；徒勞地
fuel,提供燃料
fulfill,實踐 ; 履行
functional,合用的
fundamental,基礎的；基本的
furnish,提供；供應
further,進一步的；深層的
further,促進；推展
furthermore,而且；不僅…而且
fusion,熔合；聯合
gain,v.獲得；贏利　n.利益；得益
game,動物 (集合名詞)
gap,缺口；縫隙
gather,搜集；聚集
gauge,測量；評估
general,一般地；慣常地　
generally,通常地；廣義地
generate,產生；發生
gentle,平緩的；溫和的
germinate,發芽；開始生長
get rid of,除去；去掉
gifted,有天賦的；聰穎的
gingerly,小心地；謹慎地
give in,讓步；屈服
give out,發表；公佈
give way to,讓位；變成
given,特定的；一定的
glare,刺目的強光
gloomy,陰郁的；憂悶的
glowing,光亮的
goal,目的；目標
goods,商品；貨物
gorgeous,美麗的；華麗的
gradually,逐漸地；逐步地
grandeur,宏偉；壯觀
grant,頒發；授予
graphic,生動的；圖文的
grasp,領會；掌握
grasp,領悟
graze,以．．．為食；放牧
grief,悲痛；不幸
grossly,顯著地；大大地
grueling,筋皮力竭的；折磨人的
guard,保護；保衛
habitat,棲息地；產地
habitually,習慣地；慣常地
hail,歡呼；招呼
hamper,妨礙；阻礙
hand in,交出；傳遞
hand out,分派；散發
handle,處理；管理
handy,靈巧的；方便的
haphazard,雜亂的；任意的
haphazardly,任意地；雜亂無章地
harbor,港口；港灣
hard,堅硬的；牢固的
hardly,幾乎不；簡直不
hardship,痛苦；苦難
harm,損害；損壞
harmful,有害的；危險的
harmless,無害的；無毒的
harness,利用；治理
harsh,嚴酷的；苛刻的
harvest,斬獲；獲得
hasten,加速；促進
hastened,草率的
hatch,孵化；孵出
haul,拖運；運送
hazard,危險；冒險
hazardous,危險的；冒險的
heading,標題；題目
headway,前進；進展
heavily,濃密地；稠密地
heighten,升高 ; 增強
hemisphere,半球；半邊
hence,因此；所以
henceforth,自此以後
herald,預示；預報
herbivore,草食性動物
herbivorous,草食性的
herd,群；獸群
heredity,遺傳；遺傳性
heritage,遺產；道統
hesitantly,猶豫地；躊躇地
heterogeneous,異種的; 異質的
heyday,全盛時期；黃金時期
hide,隱藏；遮掩
hide,獸皮；皮革
hideous,可怕的
hierarchial,階級的
highlight,著重；強調
highly,高度地；非常地
hinder,妨礙；阻礙
hindered,妨礙的
hints,線索
hire,僱佣；租用
hitherto,迄今
hold,結合；連結
hollow,掏空
hollow,洞；穴
homogeneous,同質的
house,安置；收藏
hub,中心；中樞
hue,色彩；色澤
huge,巨大的；大量的
humid,濕的；潮濕的
humiliate,羞辱；使丟臉
hurdle,困難；障礙
husk,外殼；果殼
hypothesis,假設；假說
ideal,完美的
identical,同樣的
idiosyncrasy,特質 ; 特異性
ignite,著火；燃燒
ill,負的；不良的
illicit,非法的；不正當的
illuminate,照明；照亮
illusion,幻覺 ; 幻象
illustrate,說明；闡明
illustration,插圖；圖解
illustrious,傑出的；著名的
image,影象；形象
imaginary,想像中的；不真實的
imitate,模仿；仿造
immense,巨大的；龐大的
immensely,非常；大大地
immerse,浸泡
immigrate,移民
imminent,逼近的；即將來臨的
immobile,靜止的
immunity,保護
impact,影響；作用
impair,損害
impartial,公平的；公正的
impede,妨礙；阻止
impediment,妨礙；阻礙
impending,逼近的；即將發生的
imperative,急切的；必要的
imperceptibly,不可覺察地；極緩慢地
imperceptible,不可察覺的；極緩慢的
impetus,誘因
implement,工具；器械
implement,實施
implication,含義；意義
imply,暗示；意指
important,重要的；重大的
impose on,強制
imposing,壯觀的；雄偉的
impractical,不實際的
impressive,驚人的;令人印象深刻的
improve,增進；改良
improvise,臨時準備；即席創作
imprudent,不精明的；輕率的
in essence,基本上而言
in place of,代替　
in reality,實際上；事實上
in retrospect,回顧；回想
in the long run,到末了; 到最後
inaccessible,難接近的；難達到的
inadvertently,粗心地；非故意地
inappropriately,不恰當地；不合宜地
inaugurate,開始；開創
incalculable,無數的；極大的
incapacitate,使殘廢；使無能
inception,起初
incessant,連續的；不斷的
incessantly,連續地；頻繁地
incentive,誘因
incidence,發生率
incidentally,偶然地；附帶地
incinerate,燒毀
incite,激勵；刺激
inclination,傾向；偏好
include,包括；包含
incorporate,結合；合併
increase,增加；增多
incredible,難以置信的；不可思議的
incredulity,懷疑；不相信
indefinitely,無限地
index,指標；標誌
indigenous,當地的；本土的
indiscriminate,不加選擇的；不加鑑別的
indiscriminately,無差別地
indispensable,必不可少的；絕對必要的
individually,個別地；各自地
induce,引起；導致
inducement,誘因
inept,無能的；不稱職的
inevitable,不可避免的；必然發生的
inevitably,不可避免地；必然發生地
infectious,傳染性的；易傳播的
inference,推論 ; 結論
infiltrate,滲入；透過
infinitesimal,極微小的；無限小的
inflate,膨脹; 擴大
influence,影響；感化
influential,有影響的；有勢力的
influx,流入；到達
informally,非正式地；非正規的
informed,有見識的；見聞廣的
infusion,灌輸；注入
ingenious,有天才的；機敏的
ingenuity,發明才能
ingredient,成分；要素
inhabit,居住於；棲息於
inhabitant,居民；住戶
inhale,吸入；吸氣
inherent,固有的 ; 天生的
inherently,內在地；根本地
inherit,接受；繼承
inhibit,阻止；阻礙
inhospitable,冷淡的；不親切的
initial,古老的；初始的
initially,最初；開始
initiate,開始；引發
innovation,創新；革新
innovative,創新的；革新的
innumerable,無數的；數不清的
impetus,刺激；誘因
inquiry,調查；問題
inquisitive,好奇的；盤根問底的
insert,插入；嵌入
inside,內部；裡面
insignificant,無意義的；不重要的
inspire,激勵；賦予靈感
install,裝置; 裝設
instance,實例；例證
instantly,立即；立刻
instead,代替；更換
instruction,教訓；教誨
insufficient,不足的；不夠的
intact,原封不動的
integral,整體的；不可缺少的
integrate,使結合；成一體
intended,意圖的
intense,強烈的；劇烈的
intensive,加強的，集中的
intent,目的
intentionally,有意地；故意地
interchangeable,相等的；可互換的
interfere,妨礙；抵觸
interlocked,連結的
intermittently,間歇地；斷斷續續地
interruption,中斷
intervals,週期 
intervene,干涉；調停
intervention,干涉；影響
intimate,親密的；密切的
intimately,親密；親切
intricate,複雜的；使人迷惑的
intrigue,迷惑
intriguing,迷人的　
